original,match,score,product,product_code
noix_de_coco,noix_de_coco,100,coconuts,249
huile_de_coprah,huile_de_coco,79,oil_coconut_copra_,252
tourteaux_de_coprah,tourteaux_de_copra,97,cake_copra,253
huile_de_sésame,huile_de_sésame,100,oil_sesame,290
tourteaux_de_sésame,tourteaux_de_sésame,100,cake_sesame_seed,291
farine_de_moutarde,farine_de_moutarde,100,flour_mustard,295
graines_de_lin,graines_de_lin,100,linseed,333
huile_de_lin,huile_de_lin,100,oil_linseed,334
tourteaux_de_lin,tourteaux_de_lin,100,cake_linseed,335
asperges,asperges,100,asparagus,367
epinards,epinards,100,spinach,373
jus_de_tomate,jus_de_tomates,96,juice_tomato,390
autres_légumes_alliacés,poireaux_et_autres_légumes_alliacés,79,leeks_other_alliaceous_vegetables,407
champignons,champignons_en_boîte,71,mushrooms_canned,451
légumes_surgelés,légumes_surgelés,100,vegetables_frozen,473
jus_de_citron_non_conc_,jus_de_citron,72,juice_lemon_single_strength,498
jus_de_pomme_concentré,jus_de_pomme_concentré,100,juice_apple_concentrated,519
fraises,fraises,100,strawberries,544
groseilles,grosellas,84,currants,550
baies_nda,epices_nda,74,spices_nes,723
avocats,avocats,100,avocados,572
ananas_concentré,jus_d_ananas_concentré,84,juice_pineapple_concentrated,580
papayes,papayes,100,papayas,600
abats_de_cheval,viande_cheval,71,meat_horse,1097
crème_fraîche,crème_fraiche,92,cream_fresh,885
lait_entier_condensé,lait_entier_concentré_sucré,81,milk_whole_condensed,889
roots_and_tubers_nes,roots_and_tubers_nes,100,roots_and_tubers_nes,149
fonio,fonio,100,fonio,94
farine_de_manioc,farine_de_manioc,100,flour_cassava,126
beurre_de_karité,beurre_de_karité,100,butter_of_karite_nuts,264
bran_of_buckwheat,bran_buckwheat,90,bran_buckwheat,91
mustard_seed,mustard_seed,100,mustard_seed,292
quinoa,quinoa,100,quinoa,92
harina_de_patatas,harina_papa,71,flour_potatoes,117
coles,colmenas,77,beehives,1181
pepinos_y_pepinillos,pepinos_pepinillos,95,cucumbers_and_gherkins,397
habas_verdes,judias_verdes,72,beans_green,414
maíz_verde,maíz_verde,100,maize_green,446
uvas,uvas,100,grapes,560
frutas_frescas_nep,fruta_fresca_nep,94,fruit_fresh_nes,619
café_verde,café_verde,100,coffee_green,656
café_tostado,café_tostado,100,coffee_roasted,657
leche_de_oveja,queso_de_leche_de_oveja,76,cheese_sheep_milk,984
queso_de_cabra,queso_elaborado,76,cheese_processed,907
bran_of_sorghum,bran_sorghum,89,bran_sorghum,85
flour_of_cassava,flour_cassava,90,flour_cassava,126
cassava_dried,cassava_dried,100,cassava_dried,128
brazilnuts_shelled,brazil_nuts_shelled,97,brazil_nuts_shelled,229
cashew_nuts_shelled,cashew_nuts_shelled,100,cashew_nuts_shelled,230
oil_of_palm,oil_palm,84,oil_palm,257
oil_of_palm_kernels,oil_palm_kernel,88,oil_palm_kernel,258
cake_of_palm_kernels,cake_palm_kernel,89,cake_palm_kernel,259
cashewapple,cashewapple,100,cashewapple,591
céréales_nda,sucres_nda,73,sugar_nes,167
noix_décortiquées,noix_non_décortiquées,89,walnuts_with_shell,222
noisettes_décortiquées,noisettes_non_décortiquées,92,hazelnuts_with_shell,225
arachides_prép,arachides_préparées,85,groundnuts_prepared,246
tomates_pelées,tomates_pelées,100,tomatoes_peeled,392
légumes_cons_au_vinaigre,légumes_au_vinaigre,88,vegetables_in_vinegar,471
prunes_sèches,prunes_séchées,89,plums_dried_prunes_,537
jus_de_raisins,jus_de_raisin,96,juice_grape,562
buffles,buffles,100,buffaloes,946
abats_comestibles_buffle,abats_comestibles_suides,83,offals_pigs_edible,1036
fruits_tropic_frais_nda,fruits_tropicaux_frais_nda,94,fruit_tropical_fresh_nes,603
huile_de_son_de_riz,huile_de_son_de_riz,100,oil_rice_bran,36
tourteaux_de_son_de_riz,tourteaux_de_son_de_riz,100,cake_rice_bran,37
canards,canards,100,ducks,1068
amidon_manioc,amidon_de_manioc,90,starch_cassava,129
café_vert,café_vert,100,coffee_green,656
potato_offals,potato_offals,100,potato_offals,120
peanut_butter,peanut_butter,100,peanut_butter,247
sweet_corn_frozen,sweet_corn_frozen,100,sweet_corn_frozen,447
sweet_corn_prep_or_pres,sweet_corn_prep_or_preserved,90,sweet_corn_prep_or_preserved,448
