"regulation_code","regulation_name","regulation_short_name","comtrade_primary_code","commodity_short_name","hs_4d_code","hs_4d_name","hs_6d_code","hs_6d_name","fao_code","fao_name","bp","fao_parent_code","fao_primary_code","in_mapping_table","match"
"0901","Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion","Coffee","0901","Coffee","0901","Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion","090190","Coffee; husks and skins, coffee substitutes containing coffee in any proportion","658","Coffee substitutes","0","657","656","1","partial"
"1511","Palm oil and its fractions, whether or not refined, but not chemically modified","Palm oil","120710","Palm oil fruit","1511","Palm oil and its fractions; whether or not refined, but not chemically modified","151110","Vegetable oils; palm oil and its fractions, crude, not chemically modified","257","Palm oil","0","254","254","1","partial"
"1511","Palm oil and its fractions, whether or not refined, but not chemically modified","Palm oil","120710","Palm oil fruit","1511","Palm oil and its fractions; whether or not refined, but not chemically modified","151190","Vegetable oils; palm oil and its fractions, other than crude, whether or not refined, but not chemically modified","257","Palm oil","0","254","254","1","partial"
"120710","Palm nuts and kernels","Palm nuts and kernels","120710","Palm oil fruit","1207","Oil seeds and oleaginous fruits, n.e.c. in chapter 12; whether or not broken","120710","Oil seeds; palm nuts and kernels, whether or not broken","256","Palm kernels","0","254","254","1","total"
"151321","Crude palm kernel and babassu oil and fractions thereof","Crude palm kernel","120710","Palm oil fruit","1513","Coconut (copra), palm kernel or babassu oil and their fractions; whether or not refined but not chemically modified","151321","Vegetable oils; palm kernel or babassu oil and their fractions, crude, not chemically modified","258","Oil of palm kernel","1","256","254","1","partial"
"151329","Palm kernel and babassu oil and their fractions, whether or not refined, but not chemically modified (excluding Crude oil)","Palm kernel and babassu oil","120710","Palm oil fruit","1513","Coconut (copra), palm kernel or babassu oil and their fractions; whether or not refined but not chemically modified","151329","Vegetable oils; palm kernel or babassu oil and their fractions, other than crude, whether or not refined, but not chemically modified","258","Oil of palm kernel","1","256","254","1","partial"
"230660","Oilcake and other solid residues of palm nuts or kernels, whether or not ground or in the form of pellets, resulting from the extraction of palm nuts oils or kernels oils","Palm cake","120710","Palm oil fruit","2306","Oil-cake and other solid residues; whether or not ground or in the form of pellets, resulting from the extraction of vegetable or microbial fats or oils, other than those of heading no. 2304 or 2305","230660","Oil-cake and other solid residues; whether or not ground or in the form of pellets, resulting from the extraction of palm nuts or kernels oils","259","Cake of palm kernel","1","256","254","1","total"
"382319","Fatty acids, industrial, monocarboxylic; acid oils from refining (excl. stearic acid, oleic acid and tall oil fatty acids)","Industrial fatty acids","120710","Palm oil fruit","3823","Industrial monocarboxylic fatty acids; acid oils from refining; industrial fatty alcohols","382319","Industrial monocarboxylic fatty acids; acid oils from refining; (other than stearic acid, oleic acid or tall oil fatty acids)","1276","Industrial monocarboxylic fatty acids; acid oils from refining","0","258","254","1","partial"
"291590","Saturated acyclic monocarboxylic acids, their anhydrides, halides, peroxides and peroxyacids; their halogenated, sulphonated, nitrated or nitrosated derivatives (excl. formic acid and acetic acid, mono-, di- or trichloroacetic acids, propionic acid, butanoic and pentanoic acids, palmitic and stearic acids, their salts and esters, and acetic anhydride) ","Saturated acyclic monocarboxylic acids","120710","Palm oil fruit","2915","Acids; saturated acyclic monocarboxylic acids and their anhydrides, halides, peroxides and peroxyacids; their halogenated, sulphonated, nitrated or nitrosated derivatives","291590","Acids; saturated acyclic monocarboxylic acids; anhydrides, halides, peroxides, peroxyacids and halogenated, sulphonated, nitrated or nitrosated derivatives, n.e.c. in heading no. 2915","NA","NA","NA","NA","254","0","missing"
"382370","Fatty alcohols, industrial ","Industrial fatty alcohols","120710","Palm oil fruit","3823","Industrial monocarboxylic fatty acids; acid oils from refining; industrial fatty alcohols","382370","Industrial fatty alcohols","NA","NA","NA","NA","254","0","missing"
