fao_product_code,fao_product,extraction_rate_mean,extraction_rate_min,extraction_rate_max,extraction_rate_std,extraction_rate_count,waste_of_supply_mean,waste_of_supply_min,waste_of_supply_max,waste_of_supply_std,waste_of_supply_count,extraction_rate_flag,waste_of_supply_flag
339,oilseeds_nes,NA,NA,NA,NA,0,0.047949152542372885,0.011000000000000001,0.25,0.035545223127735,59,0,1
343,flour_oilseeds,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,0
366,artichokes,NA,NA,NA,NA,0,0.0912258064516129,0.04,0.19,0.03924853260732122,31,0,1
367,asparagus,NA,NA,NA,NA,0,0.0774074074074074,0.002,0.15,0.039585602723969514,27,0,1
373,spinach,NA,NA,NA,NA,0,0.09687179487179487,0.004,0.34,0.06363348154084802,39,0,1
388,tomatoes,NA,NA,NA,NA,0,0.09203125000000001,0.003,0.3,0.046286397484631085,96,0,1
390,juice_tomato,0.7281818181818182,0.5,0.9,0.11805237666545998,11,NA,NA,NA,NA,0,1,0
391,tomatoes_paste,0.2554166666666667,0.13,0.4,0.07978117717785353,24,0.10462264150943396,0.015,0.38,0.058917225643300854,53,1,1
392,tomatoes_peeled,0.7655555555555557,0.38,0.88,0.14791138488222527,9,NA,NA,NA,NA,0,1,0
394,pumpkins_squash_and_gourds,NA,NA,NA,NA,0,0.08935416666666667,0.018000000000000002,0.2,0.04169927270314953,48,0,1
397,cucumbers_and_gherkins,NA,NA,NA,NA,0,0.08763829787234043,0.011000000000000001,0.25,0.04308302838364565,94,0,1
399,eggplants_aubergines_,NA,NA,NA,NA,0,0.08136363636363636,0.02,0.2,0.04693414378481676,22,0,1
401,chillies_and_peppers_green,NA,NA,NA,NA,0,0.08461111111111111,0.002,0.2,0.035187592510239556,54,0,1
402,onions_shallots_green,NA,NA,NA,NA,0,0.08466666666666667,0.01,0.19,0.0409323166392344,45,0,1
403,onions_dry,NA,NA,NA,NA,0,0.0768421052631579,0.004,0.2,0.0362679092865737,133,0,1
406,garlic,NA,NA,NA,NA,0,0.07765116279069767,0.02,0.2,0.036078922457452006,86,0,1
407,leeks_other_alliaceous_vegetables,NA,NA,NA,NA,0,0.06470833333333334,0.02,0.15,0.03278186026324377,24,0,1
414,beans_green,NA,NA,NA,NA,0,0.08042307692307693,0.004,0.2,0.04091375249580615,52,0,1
417,peas_green,NA,NA,NA,NA,0,0.07702127659574469,0.012,0.15,0.03517996549526333,47,0,1
426,carrots_and_turnips,NA,NA,NA,NA,0,0.10514285714285714,0.05,0.15,0.031248032905121563,14,0,1
446,maize_green,0.12014705882352941,0.06,0.15,0.02595115733151259,34,0.11499999999999999,0.02,0.19,0.07325753658611969,4,1,1
447,sweet_corn_frozen,0.795,0.27,1.0,0.26485845276298053,6,NA,NA,NA,NA,0,1,0
448,sweet_corn_prep_or_preserved,0.75,0.4,1.0,0.19748417658131498,6,NA,NA,NA,NA,0,1,0
451,mushrooms_canned,0.2,0.2,0.2,NA,1,0.07392307692307692,0.01,0.15,0.038319627427127294,26,1,1
463,vegetables_fresh_nes,NA,NA,NA,NA,0,0.09613114754098362,0.0,0.3,0.042235788458342916,183,0,1
465,vegetables_canned_nes,0.548888888888889,0.29,0.9,0.18203326924249622,9,NA,NA,NA,NA,0,1,0
469,vegetables_dehydrated,0.1940677966101695,0.08,0.5,0.06736720383063202,59,0.037250000000000005,0.019,0.05,0.015392097539538485,4,1,1
471,vegetables_in_vinegar,1.0417857142857143,0.6,1.34,0.2021800020940579,56,0.05,0.01,0.15,0.058309518948453,5,1,1
472,vegetables_preserved_nes,0.8266666666666667,0.64,1.0,0.11672962970734083,63,0.07,0.03,0.11,0.0565685424949238,2,1,1
473,vegetables_frozen,0.8652542372881357,0.7,1.0,0.08447313248037018,59,0.043333333333333335,0.01,0.1,0.032041639575194444,6,1,1
